config,variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,normal,0.9411764705882353,0.7619047619047619,0.7619047619047619,0.98989898989899,0.8421052631578947,0.9894179894179894,21,0.523809526293274,0.523809526293274
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,benign,0.8571428571428571,0.8955223880597015,0.8955223880597015,0.8113207547169812,0.8759124087591241,0.9512813292030414,67,0.7792683811471569,0.6995984614350897
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,malignant,0.8333333333333334,0.78125,0.78125,0.9431818181818182,0.8064516129032259,0.953125,32,0.7964493116296696,0.6823990374984341
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,normal,0.9,0.8571428571428571,0.8571428571428571,0.9797979797979798,0.8780487804878048,0.9894179894179894,21,0.8571428572951237,0.8571428572951237
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,benign,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8113207547169812,0.8507462686567164,0.928470853280766,67,0.7956396882035701,0.7205582966151287
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,malignant,0.7058823529411765,0.75,0.75,0.8863636363636364,0.7272727272727272,0.8973721590909092,32,0.783289506147164,0.6739992964218675
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,normal,0.8947368421052632,0.8095238095238095,0.8095238095238095,0.9797979797979798,0.8500000000000001,0.9846079846079846,21,0.42857143395285136,0.42857143395285136
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,benign,0.859375,0.8208955223880597,0.8208955223880597,0.8301886792452831,0.8396946564885497,0.928470853280766,67,0.771305804874702,0.6998736521033304
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,malignant,0.7272727272727273,0.75,0.75,0.8977272727272727,0.7384615384615384,0.8973721590909092,32,0.7832792366762497,0.673994160842575
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,normal,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.9595959595959596,0.8636363636363636,0.9846079846079846,21,0.9047619048085378,0.9047619048085378
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,benign,0.9310344827586207,0.8059701492537313,0.8059701492537313,0.9245283018867925,0.864,0.9366375668825683,67,0.8109008552853935,0.7336660992263409
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,malignant,0.6511627906976745,0.875,0.875,0.8295454545454546,0.7466666666666667,0.9339488636363638,32,0.7805587419383065,0.6764465036077568
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,normal,0.9473684210526315,0.8571428571428571,0.8571428571428571,0.98989898989899,0.9,0.9956709956709957,21,0.6190476207263732,0.6190476207263732
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,benign,0.9298245614035088,0.7910447761194029,0.7910447761194029,0.9245283018867925,0.8548387096774193,0.9366375668825683,67,0.797990722459313,0.7222917442803704
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,malignant,0.6666666666666666,0.875,0.875,0.8409090909090909,0.7567567567567567,0.9339488636363638,32,0.7682821829336697,0.668807790262925
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,normal,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9797979797979798,0.9047619047619048,0.9956709956709957,21,0.9047619049922531,0.9047619049922531
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,benign,0.8208955223880597,0.8208955223880597,0.8208955223880597,0.7735849056603774,0.8208955223880597,0.8986201070121093,67,0.7456974228907964,0.6701741394769855
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,malignant,0.7142857142857143,0.625,0.625,0.9090909090909091,0.6666666666666666,0.9115767045454546,32,0.7842274073126145,0.673882940907096
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,normal,0.76,0.9047619047619048,0.9047619047619048,0.9393939393939394,0.8260869565217391,0.9571909571909571,21,0.5714285976629394,0.5714285976629394
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,benign,0.828125,0.7910447761194029,0.7910447761194029,0.7924528301886793,0.8091603053435115,0.8986201070121093,67,0.6964091007142831,0.6285403812918243
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,malignant,0.7407407407407407,0.625,0.625,0.9204545454545454,0.6779661016949152,0.9115767045454546,32,0.7648709412718044,0.6598625418257671
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,normal,0.7241379310344828,1.0,1.0,0.9191919191919192,0.8400000000000001,0.9571909571909571,21,1.0,1.0
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,benign,0.896551724137931,0.7761194029850746,0.7761194029850746,0.8867924528301887,0.8320000000000001,0.9186144747958321,67,0.7549684614489326,0.6752552843443211
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,malignant,0.627906976744186,0.84375,0.84375,0.8181818181818182,0.72,0.8895596590909092,32,0.7837525859065931,0.6797087480961971
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,normal,0.9473684210526315,0.8571428571428571,0.8571428571428571,0.98989898989899,0.9,0.976911976911977,21,0.809523809649106,0.809523809649106
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,benign,0.9245283018867925,0.7313432835820896,0.7313432835820896,0.9245283018867925,0.8166666666666667,0.9186144747958321,67,0.7418097651890558,0.6634892968105195
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,malignant,0.627906976744186,0.84375,0.84375,0.8181818181818182,0.72,0.8895596590909092,32,0.7837525859065931,0.6797087480961971
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,normal,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9595959595959596,0.888888888888889,0.976911976911977,21,0.9523809523958054,0.9523809523958054
